Column0,Column1,Column2,Column3
21051.4,11264.2,429.179,45.8
21094.3,11265.2,429.046,45.9
21137.2,11266,428.915,46
21180.1,11266.7,428.786,46.1
21223,11267.4,428.66,46.2
21265.8,11267.9,428.536,46.3
21308.7,11268.4,428.414,46.4
21351.5,11268.7,428.294,46.5
21394.3,11268.9,428.177,46.6
21437.2,11269.1,428.062,46.7
21480,11269.1,427.95,46.8
21522.8,11269.1,427.84,46.9
21565.5,11269,427.732,47
21608.3,11268.7,427.626,47.1
21651.1,11268.4,427.523,47.2
21693.8,11267.9,427.422,47.3
21736.6,11267.4,427.323,47.4
21779.3,11266.7,427.227,47.5
21822,11266,427.132,47.6
21864.7,11265.2,427.041,47.7
21907.4,11264.3,426.951,47.8
21950.1,11263.2,426.864,47.9
21992.8,11262.1,426.779,48
22035.4,11260.9,426.696,48.1
22078.1,11259.6,426.616,48.2
22120.7,11258.1,426.538,48.3
22163.3,11256.6,426.462,48.4
22206,11255,426.388,48.5
22248.6,11253.3,426.317,48.6
22291.1,11251.5,426.248,48.7
22333.7,11249.6,426.182,48.8
22376.3,11247.6,426.117,48.9
22418.9,11245.5,426.055,49
22461.4,11243.3,425.995,49.1
22503.9,11241,425.938,49.2
22546.5,11238.6,425.883,49.3
22589,11236.1,425.83,49.4
22631.5,11233.5,425.779,49.5
22674,11230.8,425.73,49.6
22716.5,11228.1,425.684,49.7
22758.9,11225.2,425.64,49.8
22801.4,11222.2,425.599,49.9
22843.8,11219.1,425.559,50
22886.3,11215.9,425.522,50.1
22928.7,11212.7,425.488,50.2
22971.1,11209.3,425.455,50.3
23013.5,11205.9,425.425,50.4
23055.9,11202.3,425.397,50.5
23098.3,11198.6,425.371,50.6
23140.7,11194.9,425.347,50.7
23183,11191,425.326,50.8
23225.4,11187.1,425.307,50.9
23267.7,11183,425.29,51
23310.1,11178.9,425.276,51.1
23352.4,11174.7,425.263,51.2
23394.7,11170.3,425.253,51.3
23437,11165.9,425.246,51.4
23479.3,11161.4,425.24,51.5
23521.5,11156.7,425.237,51.6
23563.8,11152,425.236,51.7
23606,11147.2,425.237,51.8
23648.3,11142.3,425.24,51.9
23690.5,11137.3,425.246,52
23732.7,11132.2,425.253,52.1
23774.9,11126.9,425.264,52.2
23817.1,11121.6,425.276,52.3
23859.3,11116.2,425.29,52.4
23901.5,11110.7,425.307,52.5
23943.6,11105.2,425.326,52.6
23985.8,11099.5,425.347,52.7
24027.9,11093.7,425.37,52.8
24070,11087.8,425.396,52.9
24112.2,11081.8,425.423,53
24154.3,11075.7,425.453,53.1
24196.4,11069.6,425.485,53.2
24238.5,11063.3,425.52,53.3
24280.5,11056.9,425.556,53.4
24322.6,11050.5,425.595,53.5
24364.6,11043.9,425.636,53.6
24406.7,11037.3,425.679,53.7
24448.7,11030.5,425.724,53.8
24490.7,11023.7,425.771,53.9
24532.7,11016.7,425.821,54
24574.7,11009.7,425.873,54.1
24616.7,11002.6,425.927,54.2
24658.7,10995.3,425.983,54.3
24700.7,10988,426.041,54.4
24742.6,10980.6,426.101,54.5
24784.5,10973.1,426.164,54.6
24826.5,10965.4,426.229,54.7
24868.4,10957.7,426.295,54.8
24910.3,10949.9,426.364,54.9
24952.2,10942,426.436,55
24994.1,10934,426.509,55.1
25036,10925.9,426.584,55.2
25077.8,10917.7,426.662,55.3
25119.7,10909.5,426.741,55.4
25161.5,10901.1,426.823,55.5
25203.4,10892.6,426.907,55.6
25245.2,10884,426.993,55.7
25287,10875.3,427.081,55.8
25328.8,10866.6,427.171,55.9
25370.6,10857.7,427.264,56
25412.4,10848.8,427.358,56.1
25454.1,10839.7,427.455,56.2
25495.9,10830.6,427.553,56.3
25537.6,10821.3,427.654,56.4
25579.4,10812,427.757,56.5
25621.1,10802.5,427.862,56.6
25662.8,10793,427.969,56.7
25704.5,10783.4,428.078,56.8
25746.2,10773.7,428.189,56.9
25787.9,10763.8,428.302,57
25829.5,10753.9,428.418,57.1
25871.2,10743.9,428.535,57.2
25912.8,10733.8,428.654,57.3
25954.5,10723.6,428.776,57.4
25996.1,10713.3,428.899,57.5
26037.7,10702.9,429.025,57.6
26079.3,10692.5,429.152,57.7
26120.9,10681.9,429.282,57.8
26162.5,10671.2,429.414,57.9
26204,10660.4,429.547,58
26245.6,10649.6,429.683,58.1
26287.1,10638.6,429.821,58.2
26328.7,10627.5,429.961,58.3
26370.2,10616.4,430.102,58.4
26411.7,10605.2,430.246,58.5
26453.2,10593.8,430.392,58.6
26494.7,10582.4,430.54,58.7
26536.2,10570.8,430.69,58.8
26577.7,10559.2,430.841,58.9
26619.1,10547.5,430.995,59
26660.6,10535.7,431.151,59.1
26702,10523.8,431.308,59.2
26743.4,10511.8,431.468,59.3
26784.8,10499.7,431.63,59.4
26826.2,10487.5,431.793,59.5
26867.6,10475.2,431.959,59.6
26909,10462.8,432.127,59.7
26950.4,10450.3,432.296,59.8
26991.8,10437.7,432.468,59.9
27033.1,10425.1,432.641,60
27074.4,10412.3,432.816,60.1
27115.8,10399.4,432.993,60.2
27157.1,10386.5,433.173,60.3
27198.4,10373.4,433.354,60.4
27239.7,10360.3,433.537,60.5
27281,10347.1,433.722,60.6
27322.2,10333.7,433.909,60.7
27363.5,10320.3,434.097,60.8
27404.8,10306.8,434.288,60.9
27446,10293.2,434.481,61
27487.2,10279.5,434.675,61.1
27528.4,10265.7,434.871,61.2
27569.6,10251.8,435.07,61.3
27610.8,10237.8,435.27,61.4
27652,10223.7,435.472,61.5
27693.2,10209.5,435.676,61.6
27734.4,10195.2,435.881,61.7
27775.5,10180.9,436.089,61.8
27816.7,10166.4,436.298,61.9
27857.8,10151.8,436.509,62
27898.9,10137.2,436.723,62.1
27940,10122.4,436.937,62.2
27981.1,10107.6,437.154,62.3
28022.2,10092.7,437.373,62.4
28063.3,10077.6,437.593,62.5
28104.3,10062.5,437.816,62.6
28145.4,10047.3,438.04,62.7
28186.4,10032,438.265,62.8
28227.5,10016.6,438.493,62.9
28268.5,10001.1,438.723,63
28309.5,9985.49,438.954,63.1
28350.5,9969.8,439.187,63.2
28391.5,9954.02,439.422,63.3
28432.4,9938.15,439.658,63.4
28473.4,9922.18,439.897,63.5
28514.4,9906.12,440.137,63.6
28555.3,9889.96,440.379,63.7
28596.2,9873.72,440.622,63.8
28637.1,9857.37,440.868,63.9
28678.1,9840.94,441.115,64
28719,9824.41,441.364,64.1
28759.8,9807.79,441.615,64.2
28800.7,9791.07,441.867,64.3
28841.6,9774.26,442.121,64.4
28882.4,9757.36,442.377,64.5
28923.3,9740.36,442.635,64.6
28964.1,9723.27,442.894,64.7
29004.9,9706.08,443.155,64.8
29045.7,9688.81,443.417,64.9
29086.5,9671.44,443.682,65
29127.3,9653.97,443.948,65.1
29168.1,9636.42,444.216,65.2
29208.9,9618.77,444.485,65.3
29249.6,9601.02,444.756,65.4
29290.4,9583.18,445.029,65.5
29331.1,9565.25,445.303,65.6
29371.8,9547.23,445.579,65.7
29412.5,9529.12,445.857,65.8
29453.2,9510.91,446.137,65.9
29493.9,9492.6,446.418,66
29534.6,9474.21,446.7,66.1
29575.2,9455.72,446.985,66.2
29615.9,9437.14,447.27,66.3
29656.5,9418.46,447.558,66.4
29697.2,9399.69,447.847,66.5
29737.8,9380.83,448.138,66.6
29778.4,9361.88,448.43,66.7
29819,9342.83,448.724,66.8
29859.6,9323.7,449.02,66.9
29900.2,9304.46,449.317,67
29940.7,9285.14,449.616,67.1
29981.3,9265.72,449.916,67.2
30021.8,9246.21,450.218,67.3
30062.3,9226.61,450.521,67.4
30102.9,9206.91,450.826,67.5
30143.4,9187.13,451.133,67.6
30183.9,9167.25,451.441,67.7
